gene_id,disease_id,source_gwas_year,source_gwas_gene,hop
817,D015212,2010,781,1
818,D015212,2010,781,1
820,D015212,2012,4790,1
836,D015212,2008,6789,1
841,D015212,2016,355,1
846,D015212,2016,2776,1
861,D015212,2012,6097,1
886,D015212,2011,2768,1
887,D015212,2011,2768,1
889,D015212,2020,5906,1
894,D015212,2008,6774,1
919,D015212,2012,3117,1
920,D015212,2012,3117,1
929,D015212,2016,7099,1
933,D015212,2014,5788,1
941,D015212,2015,940,1
942,D015212,2015,940,1
952,D015212,2012,5579,1
953,D015212,2012,114,1
954,D015212,2012,114,1
956,D015212,2012,114,1
959,D015212,2016,958,1
960,D015212,2009,3912,1
962,D015212,2010,51744,1
965,D015212,2012,4790,1
972,D015212,2012,3117,1
995,D015212,2017,815,1
996,D015212,2017,51343,1
998,D015212,2020,5906,1
1019,D015212,2012,4790,1
1021,D015212,2017,896,1
1026,D015212,2010,4088,1
1029,D015212,2016,2113,1
1030,D015212,2010,4088,1
1051,D015212,2010,4261,1
1054,D015212,2010,4261,1
1128,D015212,2016,2776,1
1129,D015212,2016,2776,1
1131,D015212,2016,2776,1
1133,D015212,2016,2776,1
1136,D015212,2012,3717,1
1137,D015212,2012,3717,1
1139,D015212,2012,3717,1
1141,D015212,2012,3717,1
1143,D015212,2012,3717,1
1147,D015212,2012,1326,1
1154,D015212,2008,6774,1
1215,D015212,2012,4790,1
1230,D015212,2012,3717,1
1232,D015212,2012,3717,1
1233,D015212,2012,3717,1
1234,D015212,2012,3717,1
1235,D015212,2012,3717,1
1236,D015212,2012,3717,1
1237,D015212,2012,3717,1
1268,D015212,2012,114,1
1277,D015212,2008,6774,1
1278,D015212,2008,6774,1
1281,D015212,2010,4088,1
1374,D015212,2008,6774,1
1375,D015212,2008,6774,1
1385,D015212,2010,4261,1
1386,D015212,2012,5579,1
1387,D015212,2017,815,1
1388,D015212,2012,5579,1
1394,D015212,2011,2768,1
1395,D015212,2016,2776,1
1398,D015212,2009,2212,1
1399,D015212,2009,2212,1
1407,D015212,2012,6097,1
1408,D015212,2012,6097,1
1431,D015212,2015,50,1
1432,D015212,2009,2212,1
1435,D015212,2012,4790,1
1436,D015212,2015,3481,1
1437,D015212,2012,4790,1
1439,D015212,2012,3717,1
1440,D015212,2012,4790,1
1447,D015212,2008,6774,1
1453,D015212,2010,8863,1
1454,D015212,2010,8863,1
1495,D015212,2017,999,1
1496,D015212,2017,999,1
1499,D015212,2014,9223,1
1500,D015212,2017,999,1
1511,D015212,2020,5269,1
1513,D015212,2015,2355,1
1514,D015212,2012,4790,1
1524,D015212,2012,3717,1
1536,D015212,2012,5579,1
1540,D015212,2011,4046,1
1543,D015212,2013,8854,1
1544,D015212,2013,8854,1
1545,D015212,2016,196,1
1548,D015212,2013,8854,1
1549,D015212,2013,8854,1
1551,D015212,2013,8854,1
1555,D015212,2013,8854,1
1557,D015212,2015,5321,1
1558,D015212,2013,8854,1
1559,D015212,2013,8854,1
1562,D015212,2013,8854,1
1571,D015212,2015,5321,1
1573,D015212,2015,5321,1
1576,D015212,2013,8854,1
1577,D015212,2013,8854,1
1592,D015212,2013,8854,1
1606,D015212,2017,5336,1
1607,D015212,2017,5336,1
1608,D015212,2017,5336,1
1609,D015212,2017,5336,1
1616,D015212,2011,11315,1
1628,D015212,2010,8863,1
1647,D015212,2012,4790,1
1673,D015212,2012,4790,1
1812,D015212,2016,2776,1
1816,D015212,2016,2776,1
1827,D015212,2015,4772,1
1840,D015212,2015,4851,1
1844,D015212,2010,1788,1
1846,D015212,2010,1788,1
1847,D015212,2010,1788,1
1849,D015212,2010,1788,1
1850,D015212,2010,1788,1
1855,D015212,2015,4851,1
1856,D015212,2015,4851,1
1857,D015212,2015,4851,1
1901,D015212,2015,4772,1
1902,D015212,2011,2768,1
1903,D015212,2011,2768,1
1906,D015212,2012,4790,1
1909,D015212,2011,2768,1
1910,D015212,2011,2768,1
1947,D015212,2015,2050,1
1948,D015212,2015,2050,1
1949,D015212,2015,2050,1
1956,D015212,2008,4485,1
1959,D015212,2015,4772,1
1960,D015212,2015,4772,1
1969,D015212,2015,3481,1
1975,D015212,2016,6198,1
2001,D015212,2008,6774,1
2002,D015212,2012,5579,1
2033,D015212,2017,815,1
2056,D015212,2007,149233,1
2057,D015212,2012,3717,1
2064,D015212,2008,4485,1
2065,D015212,2008,4485,1
2066,D015212,2008,4485,1
2099,D015212,2008,6774,1
2100,D015212,2008,6774,1
2147,D015212,2016,2917,1
2149,D015212,2011,2768,1
2150,D015212,2016,2776,1
2152,D015212,2012,4790,1
2180,D015212,2016,2194,1
2181,D015212,2016,2194,1
2182,D015212,2016,2194,1
2208,D015212,2012,4790,1
2209,D015212,2012,5579,1
2214,D015212,2012,5579,1
2215,D015212,2012,5579,1
2224,D015212,2015,79947,1
2247,D015212,2012,4790,1
2260,D015212,2008,4485,1
2261,D015212,2008,4485,1
2263,D015212,2008,4485,1
2264,D015212,2008,4485,1
2268,D015212,2015,2185,1
2277,D015212,2008,6774,1
2308,D015212,2008,6774,1
