patent_year,0,1,2,3
2000,0.0,0.0,2.0,4.0
2001,0.0,0.0,2.0,3.0
2002,0.0,0.0,0.0,11.0
2003,0.0,0.0,2.0,13.0
2004,0.0,0.0,1.0,6.0
2005,0.0,0.0,2.0,2.0
2006,0.0,1.0,1.0,3.0
2007,0.0,0.0,4.0,9.0
2008,0.0,1.0,0.0,7.0
2009,0.0,0.0,4.0,1.0
2010,0.0,0.0,3.0,1.0
2011,0.0,0.0,7.0,3.0
2012,1.0,0.0,11.0,11.0
2013,2.0,1.0,15.0,2.0
2014,1.0,3.0,9.0,6.0
2015,3.0,1.0,12.0,3.0
2016,2.0,1.0,15.0,6.0
2017,2.0,1.0,32.0,15.0
2018,4.0,2.0,26.0,2.0
2019,3.0,4.0,30.0,8.0
2020,1.0,6.0,38.0,7.0
